title,url
入圍者有福了 金馬貴賓禮品超過30項創史上最多,https://www.chinatimes.com/realtimenews/20211005005353-260404
中職》林益全「平射炮」致勝 洪一中：以為會被接到,https://www.chinatimes.com/realtimenews/20211005005347-260403
龍龍戰老K、博恩 衛福部一篇文參戰卻被公幹：國家機器這樣用？,https://www.chinatimes.com/realtimenews/20211005005343-260405
劉雪華罕見出演實境秀同居網紅認不出 揭曉身份全傻了,https://www.chinatimes.com/realtimenews/20211005005329-260404
髮基因攜築間餐飲集團齊心抗疫 籲勤洗手守護健康,https://www.chinatimes.com/realtimenews/20211005005330-260405
搶攻早鳥商機 亞馬遜黑五特賣開跑,https://www.chinatimes.com/realtimenews/20211005005332-260410
不只BNT疫苗抗體遞減 醫揭2原因「第三劑無可避免」,https://www.chinatimes.com/realtimenews/20211005005309-260405
商用不動產投資熱爆！前三季成交量突破千億大關,https://www.chinatimes.com/realtimenews/20211005005313-260410
亞馬遜、谷歌 出席白宮量子技術會議,https://www.chinatimes.com/realtimenews/20211005005314-260410
前FDA局長預測疫情離結束尚早 超過50國疫苗接種率未達世衛10％目標,https://www.chinatimes.com/realtimenews/20211005005297-260408
零售店面市場 期待「振興五倍券」注入利多,https://www.chinatimes.com/realtimenews/20211005005292-260410
兩岸申請加入CPTPP 岸田文雄：中國仍不透明 對台灣則歡迎,https://www.chinatimes.com/realtimenews/20211005005188-260408
恒大傳聞買家 合生創展減資註銷1300萬庫藏股,https://www.chinatimes.com/realtimenews/20211005005263-260410
辦公租賃市場持平 租金漲幅收窄,https://www.chinatimes.com/realtimenews/20211005005264-260410
大樂透本期未開出 下期頭獎上看1.2億元,https://www.chinatimes.com/realtimenews/20211005005193-260410
搭五倍券順風車 遠百周年慶力拼135億元、成長10％,https://www.chinatimes.com/realtimenews/20211005005209-260410
影》細肩帶長髮辣妹疑恍神自撞 騰空翻2圈180度側翻,https://www.chinatimes.com/realtimenews/20211005005249-260402
水手乘風破浪 法人唱旺長榮,https://www.chinatimes.com/realtimenews/20211005005230-260410
遠百五倍券加碼滿3000送2200 周慶全台上看135億元新高,https://www.chinatimes.com/realtimenews/20211005005231-260405
為一盒喜餅被遠親公審 他查看禮金發現驚人悲劇,https://www.chinatimes.com/realtimenews/20211005005199-260405
水手乘風破浪 法人唱旺長榮,https://www.chinatimes.com/realtimenews/20211005005230-260410
遠百五倍券加碼滿3000送2200 周慶全台上看135億元新高,https://www.chinatimes.com/realtimenews/20211005005231-260405
為一盒喜餅被遠親公審 他查看禮金發現驚人悲劇,https://www.chinatimes.com/realtimenews/20211005005199-260405
蔡英文為國慶光雕展點燈 邀國人一起看見臺灣的美好,https://www.chinatimes.com/realtimenews/20211005005220-260407
麥當勞躺著也中槍 挺綠律師臉書貼4字遭停權崩潰：莫名其妙,https://www.chinatimes.com/realtimenews/20211005005217-260405
美國太空部隊天基飛彈預警衛星準備發射,https://www.chinatimes.com/realtimenews/20211005005208-260417
黎智英案等違反《香港國安法》指定法官、總裁判官蘇惠德病假住院,https://www.chinatimes.com/realtimenews/20211005005213-260409
北宜重機神技過彎 下秒越過警車「抱歉借過」離譜影片曝,https://www.chinatimes.com/realtimenews/20211005005180-260402
輪椅族搭公車 司機沒放好無障礙斜板害人倒頭栽,https://www.chinatimes.com/realtimenews/20211005005211-260402
美要台積電交機密 郭正亮轟「阿花」亂講曝驚人內幕,https://www.chinatimes.com/realtimenews/20211005005163-260407
KTV復業 桃園警擴大臨檢要求落實防疫指引,https://www.chinatimes.com/realtimenews/20211005005184-260402
前議員找2正妹拍「魷魚遊戲」高清照流出 網驚：太胸了,https://www.chinatimes.com/realtimenews/20211005005112-260407
團結防疫 總統府前光雕展登場,https://www.chinatimes.com/realtimenews/20211005005177-260407
和泰汽車 推TOYOTA雲端銷售顧問新服務,https://www.chinatimes.com/realtimenews/20211005005179-260410
176cm《魷魚遊戲》鄭浩妍外套裡沒穿 中門全開洩火辣兇器,https://www.chinatimes.com/realtimenews/20211005002267-260404
挺你！台中就業中心助弱勢民眾重啟新職涯,https://www.chinatimes.com/realtimenews/20211005005172-260421
柯震東合作李心潔怕被電 鄭有傑讚李康生不說話也幽默,https://www.chinatimes.com/realtimenews/20211005005167-260404
桌球亞錦賽》莊智淵不敵李尚洙 男單銀牌仍創個人最佳,https://www.chinatimes.com/realtimenews/20211005005162-260403
大亞搶食綠電商機 營運添助力,https://www.chinatimes.com/realtimenews/20211005005151-260410
佛樹野戰男女逮到了 五雷轟巨木壓百戶民宅 野戰片超過70部,https://www.chinatimes.com/realtimenews/20211005005161-260402
格芯正式申請在美IPO,https://www.chinatimes.com/realtimenews/20211005005149-260410
棉花價格 飆至近十年新高,https://www.chinatimes.com/realtimenews/20211005005153-260410
韓國養老基金踩雷恒大 恐虧350萬美元,https://www.chinatimes.com/realtimenews/20211005005154-260410
